Date,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
"Nov 01, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2095,,35,,1.6710%,₹ 96.96,,₹ 2.77,₹ 0.00,1,25.0140%,4.0,₹ 387.62
"Nov 01, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,6830,,78,,1.1420%,₹ 149.63,,₹ 1.92,₹ 0.00,3,12.8670%,7.77,"₹ 1,162.86"
"Nov 01, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,7471,,30,,0.4020%,₹ 100.03,,₹ 3.33,₹ 0.00,1,26.3240%,3.8,₹ 380.00
"Nov 02, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,5767,,72,,1.2480%,₹ 149.88,,₹ 2.08,₹ 0.00,6,5.5240%,18.1,"₹ 2,713.34"
"Nov 02, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,9577,,32,,0.3340%,₹ 109.81,,₹ 3.43,₹ 0.00,1,28.3290%,3.53,₹ 387.62
"Nov 02, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,3760,,42,,1.1170%,₹ 102.19,,₹ 2.43,₹ 0.00,4,5.4770%,18.26,"₹ 1,865.72"
"Nov 03, 2022",No Portfolio,Sponsored Products,5.2.22.Auto.C2o.MonkeyCap,India,PAUSED,INR,₹ 200.00,Automatic targeting,Dynamic bids - down only,11912,,54,,0.4530%,₹ 190.27,,₹ 3.52,₹ 0.00,1,50.0710%,2.0,₹ 380.00
"Nov 03, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2599,,41,,1.5780%,₹ 108.52,,₹ 2.65,₹ 0.00,0,0.0000%,0.0,₹ 0.00
"Nov 03, 2022",No Portfolio,Sponsored Products,EL_SPN AMOLDO Women's Winter Woolen Cap with Muffler_ENS,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,6935,,71,,1.0240%,₹ 146.93,,₹ 2.07,₹ 0.00,3,12.6350%,7.91,"₹ 1,162.86"
"Nov 04, 2022",No Portfolio,Sponsored Products,20.1.22.Auto.C2o.Muffler,India,PAUSED,INR,₹ 300.00,Automatic targeting,Dynamic bids - down only,2121,,36,,1.6970%,₹ 101.23,,₹ 2.81,₹ 0.00,0,0.0000%,0.0,₹ 0.00
