Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category
171-6530398-4532305	25-Nov-2022	30-Nov-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	321058851971	Not Computed	N	N	B09RZWV53H	Woolen-Plain-Cap-Muffler-Black	AMOLDO Women Pure New Wool Solid - Woolen Cap & Scarves Winter Cap & Muffler for Girls and Women (Plain Black)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-3718	05-Dec-2022	 	 	 	 	 	 	 	 	Apparel
406-3874874-7858731	21-Nov-2022	30-Nov-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	320991268655	Not Computed	N	N	B0BD8WK6F5	Red new-design-cap-muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Tomato red)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-3173	08-Dec-2022	 	 	 	 	 	 	 	 	Apparel
408-8246821-5840353	18-Nov-2022	30-Nov-2022	Approved	DMDDkXpzRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513508950970	Seller	N	N	B09QQ7D2BP	Brown-Plain-Cap-Muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Brown)	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	IN-2803	08-Dec-2022	363.84	1	 	 	 	 	 	379.00	Apparel
402-8666421-1555509	22-Nov-2022	30-Nov-2022	Approved	DSg5kqpVRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513508706102	Seller	N	N	B09RZWV53H	Woolen-Plain-Cap-Muffler-Black	AMOLDO Women Pure New Wool Solid - Woolen Cap & Scarves Winter Cap & Muffler for Girls and Women (Plain Black)	1	AMZ-PG-APP-TOO-LARGE	Y	C-Returns	StandardRefund	IN-3327	12-Dec-2022	379.00	1	 	 	 	 	 	379.00	Apparel
403-0622350-1541934	23-Nov-2022	30-Nov-2022	Approved	DRB4knpfRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	513508699336	Seller	N	N	B09RZWV53H	Woolen-Plain-Cap-Muffler-Black	AMOLDO Women Pure New Wool Solid - Woolen Cap & Scarves Winter Cap & Muffler for Girls and Women (Plain Black)	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	15-Dec-2022	379.00	1	 	 	 	 	 	 	Apparel
408-7712076-2165950	21-Nov-2022	30-Nov-2022	Approved	DwBpkfpVRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	513508663962	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	14-Dec-2022	814.00	2	 	 	 	 	 	407.00	Apparel
407-8224815-8010741	16-Nov-2022	30-Nov-2022	Approved	DnBSkxpYRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513508569431	Seller	N	N	B0BHS4PMS5	Black new design muffler cap	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black Design New)	1	DID_NOT_LIKE_COLOR	Y	C-Returns	StandardRefund	IN-2626	 	390.72	1	 	 	 	 	 	 	Apparel
404-9139107-6025125	17-Nov-2022	30-Nov-2022	Approved	D3MvkQp6RRMA	 	AmazonUnPaidLabel	0.00	 	 	 	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	CR-DEFECTIVE	Y		Replacement	 	 	407.00	1	 	 	 	 	 	407.00	Apparel
402-9290218-5289115	20-Nov-2022	30-Nov-2022	Approved	DNMMkVpbRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513508357854	Seller	N	N	B0BHS4PMS5	Black new design muffler cap	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black Design New)	1	CR-UNWANTED_ITEM	Y	C-Returns	StandardRefund	IN-3006	08-Dec-2022	390.72	1	 	 	 	 	 	407.00	Apparel
408-7712076-2165950	21-Nov-2022	30-Nov-2022	Approved	DD2rkJpfRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	513508481238	Seller	N	N	B0BHS4PMS5	Black new design muffler cap	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black Design New)	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	14-Dec-2022	814.00	2	 	 	 	 	 	 	Apparel
