Date,Spendd,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,Spendd,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
1-Oct-22, 26.63,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1014,,6,,0.59%,₹ 26.63, 26.63,,₹ 4.44,₹ 0.00,0,0.00%,0,₹ 0.00
1-Oct-22, 78.02,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,4466,,34,,0.76%,₹ 78.02, 78.02,,₹ 2.29,₹ 0.00,0,0.00%,0,₹ 0.00
2-Oct-22, 53.69,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2555,,12,,0.47%,₹ 53.69, 53.69,,₹ 4.47,₹ 0.00,0,0.00%,0,₹ 0.00
2-Oct-22, 67.04,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2875,,25,,0.87%,₹ 67.04, 67.04,,₹ 2.68,₹ 0.00,1,19.08%,5.24,₹ 351.43
3-Oct-22, 19.46,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1039,,4,,0.39%,₹ 19.46, 19.46,,₹ 4.87,₹ 0.00,0,0.00%,0,₹ 0.00
3-Oct-22, 14.36,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,541,,5,,0.92%,₹ 14.36, 14.36,,₹ 2.87,₹ 0.00,0,0.00%,0,₹ 0.00
4-Oct-22, 40.58,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1219,,8,,0.66%,₹ 40.58, 40.58,,₹ 5.07,₹ 0.00,0,0.00%,0,₹ 0.00
4-Oct-22, 7.09,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,657,,4,,0.61%,₹ 7.09, 7.09,,₹ 1.77,₹ 0.00,0,0.00%,0,₹ 0.00
5-Oct-22, 28.57,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1486,,6,,0.40%,₹ 28.57, 28.57,,₹ 4.76,₹ 0.00,0,0.00%,0,₹ 0.00
5-Oct-22, 2.71,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,469,,1,,0.21%,₹ 2.71, 2.71,,₹ 2.71,₹ 0.00,0,0.00%,0,₹ 0.00
