Order ID	Order date	Return request date	Return request status	Amazon RMA ID	Seller RMA ID	Label type	Label cost	Currency code	Return carrier	Tracking ID	Label to be paid by	A-to-z claim	Is prime	ASIN	 Merchant SKU	Item Name	Return quantity	Return reason	In policy	Return type	Resolution	Invoice number	Return delivery date	Order Amount	Order quantity	SafeT Action reason	SafeT claim ID	SafeT claim state	SafeT claim creation time	SafeT claim reimbursement amount	Refunded Amount	Category
171-4252036-1310708	26-Oct-2022	31-Oct-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	320526595126	Not Computed	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1509	05-Nov-2022	 	 	 	 	 	 	 	 	Apparel
171-5533995-0222730	23-Oct-2022	31-Oct-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	320482163094	Not Computed	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1416	07-Nov-2022	 	 	 	 	 	 	 	 	Apparel
406-0246387-7281937	22-Oct-2022	31-Oct-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	320454408031	Not Computed	N	N	B09QQ97999	Black-Plain-Cap-Muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black)	1	UND-UNKNOWN	Y	Undelivered	StandardRefund	IN-1371	03-Nov-2022	 	 	 	 	 	 	 	 	Apparel
171-7167677-7488328	16-Oct-2022	30-Oct-2022	Approved	DlkffmnFRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513473689486	Seller	N	N	B0B8SW7WBS	Purple_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Purple Design)	1	CR-DEFECTIVE	Y	C-Returns	StandardRefund	IN-1235	05-Nov-2022	394.79	1	 	 	 	 	 	407.00	Apparel
406-0089600-7559548	22-Oct-2022	29-Oct-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	320449147716	Not Computed	N	N	B0BD8WK6F5	Red new-design-cap-muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Tomato red)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1366	02-Nov-2022	 	 	 	 	 	 	 	 	Apparel
402-0148468-9061974	18-Oct-2022	29-Oct-2022	Approved	DCDrfGn2RRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513472772288	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-1276	07-Nov-2022	394.79	1	 	 	 	 	 	407.00	Apparel
408-3979450-8592317	21-Oct-2022	28-Oct-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	320427855756	Not Computed	N	N	B0BD8YHZ2G	Light pink-design-cap-muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Light Pink)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1342	03-Nov-2022	 	 	 	 	 	 	 	 	Apparel
403-2167665-8705969	11-Oct-2022	27-Oct-2022	Approved	DDZyfQnfRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513471484229	Seller	N	N	B0B8SW8MV8	Cream_Plan_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Cream Design)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-1126	03-Nov-2022	367.63	1	 	 	 	 	 	379.00	Apparel
408-5554836-9689918	21-Oct-2022	27-Oct-2022	Approved	Dy9mfwnWRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513470960960	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-1345	03-Nov-2022	407.00	1	 	 	 	 	 	407.00	Apparel
408-0711017-8399537	21-Oct-2022	27-Oct-2022	Approved	Dw94f6nWRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513470962407	Seller	N	N	B0BHS4PMS5	Black new design muffler cap	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black Design New)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-1344	03-Nov-2022	407.00	1	 	 	 	 	 	407.00	Apparel
408-4852955-2104313	21-Oct-2022	27-Oct-2022	Approved	DS9kf4nKRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513470954945	Seller	N	N	B0B8SSC7Q1	Beige_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Beige Design)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-1343	04-Nov-2022	407.00	1	 	 	 	 	 	407.00	Apparel
402-3253018-6989917	20-Oct-2022	27-Oct-2022	Approved	DN9sfJncRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513470830638	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	IN-1321	03-Nov-2022	394.79	1	 	 	 	 	 	407.00	Apparel
402-1787573-9408300	28-Sep-2022	27-Oct-2022	Approved	Dc96f9nVRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513470810166	Seller	N	N	B09QQ97999	Black-Plain-Cap-Muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black)	1	AMZ-PG-MISORDERED	N	Amazon CS	StandardRefund	IN-912	 	379.00	1	 	 	 	 	 	 	Apparel
406-9598449-0199535	18-Oct-2022	27-Oct-2022	Approved	 	 	AmazonPrePaidLabel	0.00	 	ATS	320349385034	Not Computed	N	N	B09QQ97999	Black-Plain-Cap-Muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black)	1	UND-UNKNOWN	Y	Rejected	StandardRefund	IN-1269	01-Nov-2022	 	 	 	 	 	 	 	 	Apparel
402-9474266-4292348	13-Oct-2022	27-Oct-2022	Approved	D0Qsf3njRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513470640633	Seller	N	N	B09RZWV53H	Woolen-Plain-Cap-Muffler-Black	AMOLDO Women Pure New Wool Solid - Woolen Cap & Scarves Winter Cap & Muffler for Girls and Women (Plain Black)	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	IN-1166	03-Nov-2022	379.00	1	 	 	 	 	 	379.00	Apparel
404-5883021-4747562	17-Oct-2022	26-Oct-2022	Approved	DlHYfZnVRRMA	 	AmazonPrePaidLabel	0.00	 	ATS	513469559052	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	CR-DEFECTIVE	Y	C-Returns	Replacement	 	09-Nov-2022	394.79	1	 	 	 	 	 	 	Apparel
171-8400507-6355532	18-Oct-2022	25-Oct-2022	Approved	DgYPfCn0RRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513469316365	Seller	N	N	B0BD8WNHNX	Dark pink-design-cap-muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Dark Pink)	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	IN-1285	 	394.79	1	 	 	 	 	 	 	Apparel
402-0148468-9061974	18-Oct-2022	25-Oct-2022	Approved	D3LtfDnmRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513468596638	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	CR-QUALITY_UNACCEPTABLE	Y	C-Returns	StandardRefund	IN-1276	 	394.79	1	 	 	 	 	 	 	Apparel
404-8899387-3459565	18-Oct-2022	25-Oct-2022	Approved	D9L6flnFRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513468437948	Seller	N	N	B09QQ97999	Black-Plain-Cap-Muffler	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Black)	2	CR-MISSING_PARTS	Y	C-Returns	StandardRefund	IN-1273	 	758.00	2	 	 	 	 	 	 	Apparel
402-5856602-0777944	13-Oct-2022	24-Oct-2022	Approved	DCsJfCndRRMA	 	AmazonPrePaidLabel	138.00	INR	ATS	513468061358	Seller	N	N	B0B8W3CPDR	Grey_Design_Hat_Muffrul	AMOLDO Women Pure New Wool Solid - Woolen Cap & Scarves Winter Cap & Muffler for Girls and Women (Design Grey)	1	AMZ-PG-APP-TOO-SMALL	Y	C-Returns	StandardRefund	IN-1168	31-Oct-2022	407.00	1	 	 	 	 	 	407.00	Apparel
407-3812988-4897108	20-Oct-2022	24-Oct-2022	Approved	DbdJfjnkRRMA	 	AmazonPrePaidLabel	92.00	INR	ATS	513467934196	Seller	N	N	B0B8SQBW73	Grey_Design_Cap_Muffrul	AMOLDO Women's Soft Knitted Winter Warm Woolen Cap with Woolen Lovely Muffler|Fur Cap with Muffler (Grey Design)	1	AMZ-PG-APP-STYLE	Y	C-Returns	StandardRefund	IN-1323	31-Oct-2022	394.79	1	 	 	 	 	 	407.00	Apparel
