Date,,,Portfolio name,Campaign Type,Campaign Name,Country,Status,Currency,Budget,Targeting Type,Bidding strategy,Impressions,Last Year Impressions,Clicks,Last Year Clicks,Click-Thru Rate (CTR),Spend,,Last Year Spend,Cost Per Click (CPC),Last Year Cost Per Click (CPC),7 Day Total Orders (#),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Total Sales (₹)
1-Sep-22,102.87,102.87,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,4791,,18,,0.38%,₹ 102.87,102.87,,₹ 5.71,₹ 0.00,0,0.00%,0,₹ 0.00
2-Sep-22,97.51,97.51,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,3622,,17,,0.47%,₹ 97.51,97.51,,₹ 5.74,₹ 0.00,0,0.00%,0,₹ 0.00
3-Sep-22,21.05,81.69,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,864,,9,,1.04%,₹ 21.05,21.05,,₹ 2.34,₹ 0.00,1,5.89%,16.97,₹ 357.14
3-Sep-22,60.64,67.67,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,3191,,12,,0.38%,₹ 60.64,60.64,,₹ 5.05,₹ 0.00,1,8.73%,11.45,₹ 694.29
4-Sep-22,44.41,111.41,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1750,,16,,0.91%,₹ 44.41,44.41,,₹ 2.78,₹ 0.00,1,12.24%,8.17,₹ 362.86
4-Sep-22,23.26,126.30,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2677,,5,,0.19%,₹ 23.26,23.26,,₹ 4.65,₹ 0.00,1,3.35%,29.85,₹ 694.29
5-Sep-22,73.87,92.25,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,9480,,28,,0.30%,₹ 73.87,73.87,,₹ 2.64,₹ 0.00,1,20.36%,4.91,₹ 362.86
5-Sep-22,37.54,77.07,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1686,,8,,0.47%,₹ 37.54,37.54,,₹ 4.69,₹ 0.00,0,0.00%,0,₹ 0.00
6-Sep-22,108.92,107.75,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,15445,,42,,0.27%,₹ 108.92,108.92,,₹ 2.59,₹ 0.00,0,0.00%,0,₹ 0.00
6-Sep-22,14.38,128.77,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1822,,3,,0.17%,₹ 14.38,14.38,,₹ 4.79,₹ 0.00,0,0.00%,0,₹ 0.00
7-Sep-22,60.13,165.85,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,6319,,22,,0.35%,₹ 60.13,60.13,,₹ 2.73,₹ 0.00,0,0.00%,0,₹ 0.00
7-Sep-22,32.12,137.38,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2146,,7,,0.33%,₹ 32.12,32.12,,₹ 4.59,₹ 0.00,0,0.00%,0,₹ 0.00
8-Sep-22,41.05,149.70,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2653,,14,,0.53%,₹ 41.05,41.05,,₹ 2.93,₹ 0.00,0,0.00%,0,₹ 0.00
8-Sep-22,36.02,93.02,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1785,,8,,0.45%,₹ 36.02,36.02,,₹ 4.50,₹ 0.00,0,0.00%,0,₹ 0.00
9-Sep-22,63.97,85.49,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2523,,22,,0.87%, 63.97,63.97,,₹ 2.91,₹ 0.00,1,18.20%,5.49,₹ 351.43
9-Sep-22,43.78,50.21,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1777,,9,,0.51%,₹ 43.78,43.78,,₹ 4.86,₹ 0.00,0,0.00%,0,₹ 0.00
9-Sep-22,0.00,85.28,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1,,0,,0.00%,₹ 0.00,0.00,,₹ 0.00,₹ 0.00,0,0.00%,0,₹ 0.00
10-Sep-22,76.54,89.27,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1752,,16,,0.91%,₹ 76.54,76.54,,₹ 4.78,₹ 0.00,1,11.02%,9.07,₹ 694.29
10-Sep-22,3.06,96.36,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,241,,1,,0.42%,₹ 3.06,3.06,,₹ 3.06,₹ 0.00,0,0.00%,0,₹ 0.00
10-Sep-22,49.17,67.46,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,6664,,17,,0.26%,₹ 49.17,49.17,,₹ 2.89,₹ 0.00,2,6.71%,14.91,₹ 733.33
11-Sep-22,43.85,48.47,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2931,,16,,0.55%,₹ 43.85,43.85,,₹ 2.74,₹ 0.00,0,0.00%,0,₹ 0.00
11-Sep-22,87.00,23.71,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,9499,,31,,0.33%,₹ 87.35,87.00,,₹ 2.82,₹ 0.00,1,24.07%,4.15,₹ 362.86
11-Sep-22,35.00,100.41,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,5995,,11,,0.18%,₹ 50.89,35.00,,₹ 4.63,₹ 0.00,0,0.00%,0,₹ 0.00
12-Sep-22,73.59,109.43,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,5463,,26,,0.48%,₹ 73.59,73.59,,₹ 2.83,₹ 0.00,0,0.00%,0,₹ 0.00
12-Sep-22,54.48,134.09,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2932,,13,,0.44%,₹ 54.48,54.48,,₹ 4.19,₹ 0.00,0,0.00%,0,₹ 0.00
12-Sep-22,9.31,130.18,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1753,,3,,0.17%,₹ 9.31,9.31,,₹ 3.10,₹ 0.00,0,0.00%,0,₹ 0.00
13-Sep-22,47.39,202.98,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2158,,10,,0.46%,₹ 47.39,47.39,,₹ 4.74,₹ 0.00,0,0.00%,0,₹ 0.00
13-Sep-22,20.17,188.18,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1912,,7,,0.37%,₹ 20.17,20.17,,₹ 2.88,₹ 0.00,0,0.00%,0,₹ 0.00
13-Sep-22,82.14,256.30,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,5309,,30,,0.57%,₹ 82.14,82.14,,₹ 2.74,₹ 0.00,1,22.40%,4.46,₹ 366.67
14-Sep-22,29.14,95.80,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1732,,11,,0.64%,₹ 29.41,29.14,,₹ 2.67,₹ 0.00,0,0.00%,0,₹ 0.00
14-Sep-22,58.46,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,6191,,22,,0.36%,₹ 58.46,58.46,,₹ 2.66,₹ 0.00,1,16.11%,6.21,₹ 362.86
14-Sep-22,5.42,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1781,,1,,0.06%,₹ 5.42,5.42,,₹ 5.42,₹ 0.00,0,0.00%,0,₹ 0.00
15-Sep-22,40.86,,No Portfolio,Sponsored Products,5.2.22.Auto.C2o. BeanieHat,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,5702,,14,,0.25%,₹ 40.86,40.86,,₹ 2.92,₹ 0.00,0,0.00%,0,₹ 0.00
15-Sep-22,23.43,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1319,,5,,0.38%,₹ 23.43,23.43,,₹ 4.69,₹ 0.00,0,0.00%,0,₹ 0.00
15-Sep-22,21.20,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1826,,7,,0.38%,₹ 21.20,21.20,,₹ 3.03,₹ 0.00,0,0.00%,0,₹ 0.00
16-Sep-22,37.60,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,1641,,8,,0.49%,₹ 37.60,37.60,,₹ 4.70,₹ 0.00,0,0.00%,0,₹ 0.00
16-Sep-22,12.61,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2304,,4,,0.17%,₹ 12.61,12.61,,₹ 3.15,₹ 0.00,0,0.00%,0,₹ 0.00
17-Sep-22,30.90,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2792,,7,,0.25%,₹ 30.90,30.90,,₹ 4.41,₹ 0.00,0,0.00%,0,₹ 0.00
17-Sep-22,54.38,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,4270,,18,,0.42%,₹ 54.38,54.38,,₹ 3.02,₹ 0.00,1,15.47%,6.46,₹ 351.43
18-Sep-22,47.41,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2120,,10,,0.47%,₹ 47.41,47.41,,₹ 4.74,₹ 0.00,0,0.00%,0,₹ 0.00
18-Sep-22,41.86,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,2878,,16,,0.56%,₹ 41.86,41.86,,₹ 2.62,₹ 0.00,0,0.00%,0,₹ 0.00
19-Sep-22,28.57,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,863,,6,,0.70%,₹ 28.57,28.57,,₹ 4.76,₹ 0.00,0,0.00%,0,₹ 0.00
19-Sep-22,67.79,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,8664,,23,,0.27%,₹ 67.79,67.79,,₹ 2.95,₹ 0.00,0,0.00%,0,₹ 0.00
20-Sep-22,33.88,,No Portfolio,Sponsored Products,3 pack t shirt RGB,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,966,,7,,0.73%,₹ 33.88,33.88,,₹ 4.84,₹ 0.00,0,0.00%,0,₹ 0.00
20-Sep-22,33.58,,No Portfolio,Sponsored Products,22.1.22.Auto.C20.Stole,India,PAUSED,INR,₹ 100.00,Automatic targeting,Dynamic bids - down only,3907,,11,,0.28%,₹ 33.58,33.58,,₹ 3.05,₹ 0.00,0,0.00%,0,₹ 0.00
